index,turn,phase,step_ms,managed_mb,allocated_mb,gc0,gc1,gc2,save_load_executed,save_success,load_success,save_load_ms
1615,8,1,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1616,9,2,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1617,10,3,0.038,9.30,110.06,146,146,146,0,0,0,0.000
1618,11,4,0.034,9.30,110.06,146,146,146,0,0,0,0.000
1619,12,5,0.036,9.31,110.06,146,146,146,0,0,0,0.000
1620,13,0,0.035,9.31,110.06,146,146,146,0,0,0,0.000
1621,14,1,0.034,9.31,110.06,146,146,146,0,0,0,0.000
1622,15,2,0.034,9.31,110.06,146,146,146,0,0,0,0.000
1623,16,3,0.034,9.31,110.06,146,146,146,0,0,0,0.000
1624,17,4,0.046,9.31,110.06,146,146,146,0,0,0,0.000
1625,18,5,0.035,9.31,110.06,146,146,146,0,0,0,0.000
1626,19,0,0.034,9.31,110.06,146,146,146,0,0,0,0.000
1627,20,1,0.035,9.31,110.06,146,146,146,0,0,0,0.000
1628,21,2,0.036,9.32,110.06,146,146,146,0,0,0,0.000
1629,22,3,0.035,9.32,110.06,146,146,146,0,0,0,0.000
1630,23,4,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1631,24,5,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1632,1,0,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1633,2,1,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1634,3,2,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1635,4,3,0.036,9.32,110.06,146,146,146,0,0,0,0.000
1636,5,4,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1637,6,5,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1638,7,0,0.035,9.32,110.06,146,146,146,0,0,0,0.000
1639,8,1,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1640,9,2,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1641,10,3,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1642,11,4,0.034,9.32,110.06,146,146,146,0,0,0,0.000
1643,12,5,0.035,9.33,110.06,146,146,146,0,0,0,0.000
1644,13,0,0.034,9.33,110.06,146,146,146,0,0,0,0.000
1645,14,1,0.034,9.33,110.06,146,146,146,0,0,0,0.000
1646,15,2,0.034,9.33,110.06,146,146,146,0,0,0,0.000
1647,16,3,0.034,9.33,110.06,146,146,146,0,0,0,0.000
1648,17,4,0.035,9.33,110.06,146,146,146,0,0,0,0.000
1649,18,5,0.036,9.33,110.06,146,146,146,0,0,0,0.000
1650,19,0,0.034,9.33,110.06,146,146,146,1,1,1,31.554
1651,20,1,0.050,8.46,110.06,147,147,147,0,0,0,0.000
1652,21,2,0.036,8.46,110.06,147,147,147,0,0,0,0.000
1653,22,3,0.041,8.46,110.06,147,147,147,0,0,0,0.000
1654,23,4,0.036,8.46,110.06,147,147,147,0,0,0,0.000
1655,24,5,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1656,1,0,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1657,2,1,0.125,8.46,110.06,147,147,147,0,0,0,0.000
1658,3,2,0.042,8.46,110.06,147,147,147,0,0,0,0.000
1659,4,3,0.038,8.46,110.06,147,147,147,0,0,0,0.000
1660,5,4,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1661,6,5,0.038,8.46,110.06,147,147,147,0,0,0,0.000
1662,7,0,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1663,8,1,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1664,9,2,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1665,10,3,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1666,11,4,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1667,12,5,0.037,8.46,110.06,147,147,147,0,0,0,0.000
1668,13,0,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1669,14,1,0.037,8.46,110.06,147,147,147,0,0,0,0.000
1670,15,2,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1671,16,3,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1672,17,4,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1673,18,5,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1674,19,0,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1675,20,1,0.037,8.46,110.06,147,147,147,0,0,0,0.000
1676,21,2,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1677,22,3,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1678,23,4,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1679,24,5,0.037,8.46,110.06,147,147,147,0,0,0,0.000
1680,1,0,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1681,2,1,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1682,3,2,0.036,8.46,110.06,147,147,147,0,0,0,0.000
1683,4,3,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1684,5,4,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1685,6,5,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1686,7,0,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1687,8,1,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1688,9,2,0.036,8.46,110.06,147,147,147,0,0,0,0.000
1689,10,3,0.041,8.46,110.06,147,147,147,0,0,0,0.000
1690,11,4,0.037,8.46,110.06,147,147,147,0,0,0,0.000
1691,12,5,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1692,13,0,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1693,14,1,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1694,15,2,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1695,16,3,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1696,17,4,0.035,8.46,110.06,147,147,147,0,0,0,0.000
1697,18,5,0.038,8.46,110.06,147,147,147,0,0,0,0.000
1698,19,0,0.034,8.46,110.06,147,147,147,0,0,0,0.000
1699,20,1,0.037,8.46,110.06,147,147,147,0,0,0,0.000
1700,21,2,0.049,8.46,110.06,147,147,147,1,1,1,34.514
1701,22,3,0.054,8.58,110.07,147,147,147,0,0,0,0.000
1702,23,4,0.030,8.58,110.07,147,147,147,0,0,0,0.000
1703,24,5,0.107,8.58,110.07,147,147,147,0,0,0,0.000
1704,1,0,0.035,8.58,110.07,147,147,147,0,0,0,0.000
1705,2,1,0.034,8.58,110.07,147,147,147,0,0,0,0.000
1706,3,2,0.031,8.58,110.07,147,147,147,0,0,0,0.000
1707,4,3,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1708,5,4,0.027,8.58,110.07,147,147,147,0,0,0,0.000
1709,6,5,0.027,8.58,110.07,147,147,147,0,0,0,0.000
1710,7,0,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1711,8,1,0.027,8.58,110.07,147,147,147,0,0,0,0.000
1712,9,2,0.032,8.58,110.07,147,147,147,0,0,0,0.000
1713,10,3,0.035,8.58,110.07,147,147,147,0,0,0,0.000
1714,11,4,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1715,12,5,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1716,13,0,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1717,14,1,0.030,8.58,110.07,147,147,147,0,0,0,0.000
1718,15,2,0.057,8.58,110.07,147,147,147,0,0,0,0.000
1719,16,3,0.029,8.58,110.07,147,147,147,0,0,0,0.000
1720,17,4,0.032,8.58,110.07,147,147,147,0,0,0,0.000
1721,18,5,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1722,19,0,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1723,20,1,0.030,8.58,110.07,147,147,147,0,0,0,0.000
1724,21,2,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1725,22,3,0.028,8.58,110.07,147,147,147,0,0,0,0.000
1726,23,4,0.032,8.58,110.07,147,147,147,0,0,0,0.000
1727,24,5,0.038,8.58,110.07,147,147,147,0,0,0,0.000
1728,1,0,0.037,8.58,110.07,147,147,147,0,0,0,0.000
1729,2,1,0.034,8.58,110.07,147,147,147,0,0,0,0.000
1730,3,2,0.034,8.58,110.07,147,147,147,0,0,0,0.000
1731,4,3,0.034,8.58,110.07,147,147,147,0,0,0,0.000
1732,5,4,0.034,8.58,110.07,147,147,147,0,0,0,0.000
1733,6,5,0.036,8.58,110.07,147,147,147,0,0,0,0.000
1734,7,0,0.035,8.58,110.07,147,147,147,0,0,0,0.000
1735,8,1,0.035,8.58,110.07,147,147,147,0,0,0,0.000
1736,9,2,0.040,8.59,110.07,147,147,147,0,0,0,0.000
1737,10,3,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1738,11,4,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1739,12,5,0.036,8.59,110.07,147,147,147,0,0,0,0.000
1740,13,0,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1741,14,1,0.036,8.59,110.07,147,147,147,0,0,0,0.000
1742,15,2,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1743,16,3,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1744,17,4,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1745,18,5,0.034,8.59,110.07,147,147,147,0,0,0,0.000
1746,19,0,0.038,8.59,110.07,147,147,147,0,0,0,0.000
1747,20,1,0.032,8.59,110.07,147,147,147,0,0,0,0.000
1748,21,2,0.031,8.59,110.07,147,147,147,0,0,0,0.000
1749,22,3,0.031,8.59,110.07,147,147,147,0,0,0,0.000
1750,23,4,0.030,8.59,110.07,147,147,147,1,1,1,24.423
1751,24,5,0.020,8.71,110.07,147,147,147,0,0,0,0.000
1752,1,0,0.010,8.71,110.07,147,147,147,0,0,0,0.000
1753,2,1,0.010,8.71,110.07,147,147,147,0,0,0,0.000
1754,3,2,0.009,8.71,110.07,147,147,147,0,0,0,0.000
1755,4,3,0.010,8.72,110.07,147,147,147,0,0,0,0.000
1756,5,4,0.011,8.72,110.07,147,147,147,0,0,0,0.000
1757,6,5,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1758,7,0,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1759,8,1,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1760,9,2,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1761,10,3,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1762,11,4,0.010,8.72,110.07,147,147,147,0,0,0,0.000
1763,12,5,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1764,13,0,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1765,14,1,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1766,15,2,0.010,8.72,110.07,147,147,147,0,0,0,0.000
1767,16,3,0.010,8.72,110.07,147,147,147,0,0,0,0.000
1768,17,4,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1769,18,5,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1770,19,0,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1771,20,1,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1772,21,2,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1773,22,3,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1774,23,4,0.010,8.72,110.07,147,147,147,0,0,0,0.000
1775,24,5,0.009,8.72,110.07,147,147,147,0,0,0,0.000
1776,1,0,0.010,8.73,110.07,147,147,147,0,0,0,0.000
1777,2,1,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1778,3,2,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1779,4,3,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1780,5,4,0.010,8.73,110.07,147,147,147,0,0,0,0.000
1781,6,5,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1782,7,0,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1783,8,1,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1784,9,2,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1785,10,3,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1786,11,4,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1787,12,5,0.010,8.73,110.07,147,147,147,0,0,0,0.000
1788,13,0,0.010,8.73,110.07,147,147,147,0,0,0,0.000
1789,14,1,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1790,15,2,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1791,16,3,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1792,17,4,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1793,18,5,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1794,19,0,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1795,20,1,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1796,21,2,0.010,8.73,110.07,147,147,147,0,0,0,0.000
1797,22,3,0.010,8.73,110.07,147,147,147,0,0,0,0.000
1798,23,4,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1799,24,5,0.009,8.73,110.07,147,147,147,0,0,0,0.000
1800,1,0,0.009,8.73,110.07,147,147,147,1,1,1,22.214
1801,2,1,0.038,8.86,110.07,147,147,147,0,0,0,0.000
1802,3,2,0.026,8.86,110.07,147,147,147,0,0,0,0.000
1803,4,3,0.022,8.86,110.07,147,147,147,0,0,0,0.000
1804,5,4,0.022,8.86,110.07,147,147,147,0,0,0,0.000
1805,6,5,0.022,8.86,110.07,147,147,147,0,0,0,0.000
1806,7,0,0.022,8.86,110.07,147,147,147,0,0,0,0.000
1807,8,1,0.022,8.86,110.07,147,147,147,0,0,0,0.000
1808,9,2,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1809,10,3,0.022,8.86,110.07,147,147,147,0,0,0,0.000
1810,11,4,0.023,8.86,110.07,147,147,147,0,0,0,0.000
1811,12,5,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1812,13,0,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1813,14,1,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1814,15,2,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1815,16,3,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1816,17,4,0.021,8.86,110.07,147,147,147,0,0,0,0.000
1817,18,5,0.025,8.87,110.07,147,147,147,0,0,0,0.000
1818,19,0,0.021,8.87,110.07,147,147,147,0,0,0,0.000
1819,20,1,0.021,8.87,110.07,147,147,147,0,0,0,0.000
1820,21,2,0.018,8.87,110.07,147,147,147,0,0,0,0.000
1821,22,3,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1822,23,4,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1823,24,5,0.018,8.87,110.07,147,147,147,0,0,0,0.000
1824,1,0,0.165,8.87,110.07,147,147,147,0,0,0,0.000
1825,2,1,0.019,8.87,110.07,147,147,147,0,0,0,0.000
1826,3,2,0.018,8.87,110.07,147,147,147,0,0,0,0.000
1827,4,3,0.023,8.87,110.07,147,147,147,0,0,0,0.000
1828,5,4,0.018,8.87,110.07,147,147,147,0,0,0,0.000
1829,6,5,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1830,7,0,0.017,8.87,110.07,147,147,147,0,0,0,0.000
1831,8,1,0.017,8.87,110.07,147,147,147,0,0,0,0.000
